availability,price,rating,title
In stock,51.77,3,A Light in the Attic
In stock,53.74,1,Tipping the Velvet
In stock,50.1,1,Soumission
In stock,47.82,4,Sharp Objects
In stock,54.23,5,Sapiens: A Brief History of Humankind
In stock,22.65,1,The Requiem Red
In stock,33.34,4,The Dirty Little Secrets of Getting Your Dream Job
In stock,17.93,3,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
In stock,22.6,4,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
In stock,52.15,1,The Black Maria
In stock,13.99,2,"Starving Hearts (Triangular Trade Trilogy, #1)"
In stock,20.66,4,Shakespeare's Sonnets
In stock,17.46,5,Set Me Free
In stock,52.29,5,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
In stock,35.02,5,Rip it Up and Start Again
In stock,57.25,3,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
In stock,23.88,1,Olio
In stock,37.59,1,Mesaerion: The Best Science Fiction Stories 1800-1849
In stock,51.33,2,Libertarianism for Beginners
In stock,45.17,2,It's Only the Himalayas
In stock,12.84,1,In Her Wake
In stock,37.32,2,How Music Works
In stock,30.52,3,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
In stock,25.27,5,Chase Me (Paris Nights #2)
In stock,34.53,5,Black Dust
In stock,54.64,3,Birdsong: A Story in Pictures
In stock,22.5,3,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
In stock,53.13,3,Aladdin and His Wonderful Lamp
In stock,40.3,5,Worlds Elsewhere: Journeys Around Shakespeareâ€™s Globe
In stock,44.18,4,Wall and Piece
In stock,17.66,5,The Four Agreements: A Practical Guide to Personal Freedom
In stock,31.05,3,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
In stock,23.82,5,The Elephant Tree
In stock,36.89,1,The Bear and the Piano
In stock,15.94,5,Sophie's World
In stock,33.29,3,Penny Maybe
In stock,18.02,2,Maude (1883-1993):She Grew Up with the country
In stock,19.63,1,"In a Dark, Dark Wood"
In stock,52.22,4,Behind Closed Doors
In stock,33.63,2,You can't bury them all: Poems
In stock,57.31,3,Slow States of Collapse: Poems
In stock,26.41,2,Reasons to Stay Alive
In stock,47.61,5,Private Paris (Private #10)
In stock,23.11,5,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.
In stock,45.07,2,Without Borders (Wanderlove #1)
In stock,31.77,1,When We Collided
In stock,50.27,5,"We Love You, Charlie Freeman"
In stock,14.27,4,Untitled Collection: Sabbath Poems 2014
In stock,44.18,4,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"
In stock,18.78,3,Unicorn Tracks
In stock,25.52,1,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink"
In stock,16.28,1,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)
In stock,31.12,3,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity
In stock,19.49,4,This One Summer
In stock,17.27,5,Thirst
In stock,19.09,1,The Torch Is Passed: A Harding Family Story
In stock,56.13,1,The Secret of Dreadwillow Carse
In stock,56.41,1,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!"
In stock,56.5,4,The Past Never Ends
In stock,45.22,3,The Natural History of Us (The Fine Art of Pretending #2)
